"total_plfa","id_plfa","fung_bm","sum_gpos","sum_bact","f2b1","f2b2","f2b3","i14:0","14:0","i15:0","a15:0","15:0","i16:0","14-Me-15:1(4)","16:0","16:1(9)c","16:1(11)t","i17:0","a17:0","i17:1(9)c","17:0","cy17:0(9.10)","18:0","18:1(9)t","18:1(9)c","18:1(11)c","18:2(9,12)t","18:2(9,12)c","18:3(6,9,12)c","cy19:0(9.10)","18:3(9,12,15)c","20:0","20:4(5,8,11,14)c","22:0","23:0","24:0"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360.84,1634.95,23.03,55.89,813.13,4.86,0.0076,0.821,3.86,12.05,18.24,20.05,9.42,7.27,13.11,615.16,157.09,11.73,2.46,4.02,5.35,26.08,24.81,48.48,1.61,95.1,131.55,0.9,271.78,6.19,9.51,89.06,8.47,4.21,20.74,7.9,8.75
278.51,1260.06,14.06,72.92,684.96,2.28,0.007,0.6534,5.34,12.88,19.54,29.77,8.7,9.16,10.21,481.16,99.04,14.35,2.88,6.23,4.13,22.49,22.92,40.01,1.24,75.33,109.44,1.07,165.93,4.77,9.52,66.63,6.8,3.79,16.53,4.6,5.6
96.48,438.44,6.23,19.67,217.68,3.74,0.0073,0.8068,1.37,3.29,6.01,7.33,2.95,2.68,1.57,147.97,36.65,3,0.94,1.32,1.44,7.69,10.07,18.26,0.6,29.81,40.96,0.39,73.55,1.58,4.79,19.52,2.1,1.18,6.76,1.93,2.73
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382.35,1749.67,16.1,62.94,957.23,3.02,0.008,0.6585,3.81,13.42,18.68,23.59,10.35,9.19,7.89,728.38,178.9,14.17,3.26,4.41,5.03,31.17,31.06,54.12,0.74,110,144.63,1.4,190.04,7.69,11.6,93.67,8.19,4.53,23.84,7,8.87
464.41,1988.84,21.42,70.65,1024.74,3.58,0.0522,0.7888,1.57,14.55,20.17,31.28,10.7,7.94,11.11,772.47,158.31,8.85,3.51,6.17,4.89,32.91,36.13,72.18,7.05,124.38,133.51,1.47,252.77,53.5,6.3,128.42,13.56,6.23,40.72,12.32,15.85
473.22,1985.99,27.04,45.5,887.19,7.01,0.0477,1.0143,0.45,2.65,10.24,17.29,6.07,6.81,7.84,665.64,141.17,9.91,4.03,6.67,5.57,33.89,36.99,75.6,7.22,147.47,175.02,0.56,319.07,42.35,10.94,150.04,15.01,10.46,47.56,12.98,16.47
554.91,2347.68,28.34,75.21,1175.75,4.45,0.0549,0.8477,3.45,21.6,20.87,27.93,13.96,9.55,16.28,876.82,203,12.14,4.43,8.98,6.47,40.49,35.27,92.66,4.59,151.3,147.12,0.94,334.46,64.53,7.6,151.65,15.07,5.4,40.3,13.61,17.21
623.46,2664.76,32.79,93.48,1352.99,4.14,0.0319,0.8163,5.48,26.09,25.97,41.81,16.39,10.55,34.5,1033.87,232.09,11.64,2.54,7.14,5.4,43.64,39.13,82.07,4.62,169.55,156.45,2.1,386.98,43.19,6.67,167.99,19.2,11.04,46.31,14.93,17.42
551.54,2366.49,33.95,49.59,1111.07,8.08,0.0461,0.9616,1.22,7.4,13.14,19.46,10.38,7.09,10.31,839.37,157.17,7.43,2.88,5.8,4.45,42.73,40.56,98.12,7.9,181.19,167.11,2.52,400.62,51.17,15.49,158.88,18.84,5.18,53.23,16.26,20.59
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
